mongo_pid,physical_samples
6bfe44ef-9532-4986-b8a2-9c2cda4a89cc,OTHER
bf392537-82b4-4d71-ace0-e7bea3b167fb,OTHER
120106fb-49b4-4bc0-b30c-50a59c5c6253,OTHER
2ec8d8e3-35bc-4304-83e8-3afed4438cd5,OTHER
ce60d677-6263-4d41-9d45-d3c7ebb3ee36,SWABS
71d37610-ac55-432d-82a3-bdb04407acd8,WHOLE BLOOD
1d5b9205-dae4-4b0e-a3d3-04707875edf8,AVAILABILITY TO BE CONFIRMED
9de2f365-4c5d-4252-acee-6270b113aa93,AVAILABILITY TO BE CONFIRMED
84336be3-23bd-466e-b29b-df48db897665,FAECES;PLASMA;SALIVA;SERUM;URINE;WHOLE BLOOD
255d70c6-9a50-4b62-adc0-44216606a216,DNA;FAECES;PLASMA;SALIVA;SERUM;URINE
bfa012ad-e609-4d15-a824-6d143758ca4d,AVAILABILITY TO BE CONFIRMED
bb8de9d2-cc38-4c40-b104-ffd167f64f76,OTHER
e22ddf52-7f9e-4072-ae61-cb722461b37d,SALIVA;WHOLE BLOOD
93582beb-e45a-47b6-aeab-d26f583e4c3b,BONE MARROW;CANCER CELL LINES;DNA;PLASMA
ce4582a8-0985-46c6-b95f-29a5de862d4a,AVAILABILITY TO BE CONFIRMED
00b897c7-d50d-486a-af1b-bd94821b58f7,AVAILABILITY TO BE CONFIRMED
f4f0ef1a-46cf-4734-8516-3adb0b62ae6d,DNA;PLASMA;SERUM;URINE;WHOLE BLOOD
98999c67-0133-4f11-be95-b84ee5727c84,DNA
702f0198-bdfe-401e-97f2-35f5d26357ad,DNA;TISSUE
14c31b39-f189-4417-bd38-635268495593,DNA
ea748742-568a-46e2-b603-2fada49024e1,DNA
4cc5ed33-3190-4f80-953b-cabd5a2b1c7c,DNA
3f2b37f1-e8f7-42e5-83c4-fc9e1c58725d,DNA
435bfcda-f378-44f6-9387-042d959eb945,AVAILABILITY TO BE CONFIRMED
18bfe765-5733-41f3-8114-0a1ec2524b5b,DNA;PLASMA;SERUM
3c749cfc-4008-4916-b64f-969d6a754c0f,DNA;PLASMA;SERUM
b4121feb-f91b-4e20-a19b-fa49c7a5c1c1,DNA;PLASMA;SERUM
ae1898da-7fe5-4fe0-b10d-9f06cdec1735,DNA;PLASMA;SERUM
7dee2bd6-733a-4b2e-a942-7f9eaf8ebbc2,DNA;PLASMA;SERUM
cd20517c-2f75-40e9-9ee8-563d32624b55,DNA;PLASMA;SERUM
877a7275-b99d-4ed4-9691-de577e0ab49e,DNA;PLASMA;SERUM
f2af20f9-af84-40ce-8a07-7d095948653e,DNA;PLASMA;SERUM
b88c2b24-b75d-4d28-9391-2dbac1605a17,NOT AVAILABLE;CANCER CELL LINES
e50d2b20-ef95-43fe-bbf0-83224d88e480,WHOLE BLOOD;URINE
25003f25-384c-4264-9c8f-dd8734ee5595,SERUM
56993820-96e4-4a1f-9de1-bad53108c201,DNA;PLASMA;SERUM
39d7ad29-be30-4e12-a7c8-d8757141de85,DNA;PLASMA;SERUM
c388676c-a5e5-419c-967c-239c1f0c3c5c,DNA;PLASMA;SERUM
c20c2d81-c2d3-47cc-be38-93074467544c,DNA;PLASMA;SERUM
d2c486bb-b95b-4093-bb58-b196cfc08c7b,DNA;PLASMA;SERUM
4b8675d3-dd87-4cca-804c-aaf0e4ff8140,DNA;PLASMA;SERUM
321e3ad6-96b9-4f19-bbc4-d06dfe2a59d5,DNA;PLASMA;SERUM
261bcf76-8621-4f0d-b2e6-310993d73daa,AVAILABILITY TO BE CONFIRMED
ecb90b4a-6f4f-4398-a4f6-d64891c4a137,DNA;PLASMA;SERUM
3731006a-ee7c-4d15-bc07-4eeb29a3d031,DNA;PLASMA;SERUM
dec09f2e-a93f-41e2-8217-72431ea4a19e,DNA;PLASMA;SERUM
869a9b4e-3537-449f-9a59-a0eac523c4e4,No
4f546f1e-433c-4884-a090-2a4520c878ac,No
359a322e-3781-4796-b6b2-81962fa19b7a,No
66be725a-b950-4bf8-9a35-7e33ce765a25,No
8e0221d4-dcfa-4580-834b-f44421fca3b5,AVAILABILITY TO BE CONFIRMED
d5049af5-e351-4b22-8f75-6f3dfc96419b,OTHER
a25a9892-9141-4e78-8415-945ba73da11e,Linkages have been made with some local;separately administered bioresources
62fdfd1c-f195-49cc-b3a1-7d9fd2cc8e1b,TISSUE
1c455ad3-af51-4b93-aff4-c5d3dacfa9f4,TISSUE
22aa219f-f3c8-4a25-822e-aa2504f6f29a,DNA;SERUM;TISSUE;URINE;WHOLE BLOOD
ecb82441-286f-408d-880c-9239a25fb5cd,IMMORTALIZED CELL LINES
cee932f8-151c-4834-ac6d-61d842f9d170,IMMORTALIZED CELL LINES
93baeb13-cc4b-47fd-9dae-5ae5277cba54,DNA;PLASMA;PRIMARY CELLS;WHOLE BLOOD
9d56ae46-5955-4f03-a93c-a4a6d9f641ab,DNA;PLASMA;RNA;SALIVA;SERUM;SWABS;TISSUE;URINE;WHOLE BLOOD
8d77f0ad-f376-4d61-a97d-5e996c2bbe72,SALIVA
7dcd5c0a-1922-4fe2-9b7e-090e4c39861b,IN PROGRESS
21044030-1cd5-46b1-b072-c9959fd330b4,DNA;PLASMA;SERUM;TISSUE
c51ab59a-33ce-4145-a642-7f3f96bca545,BONE MARROW;DNA;PERIPHERAL BLOOD CELLS;PLASMA;RNA;SERUM
cd833805-f0a8-4ddb-a50d-b12695c92120,PLASMA;SERUM;TISSUE
c0dcceca-c8cf-4269-a0e0-0c18b6ba2de1,IN PROGRESS
0d4f0103-82d8-43f4-8058-4aec80ea562f,TISSUE
097540aa-a0ed-492e-853b-9ebcfd061dea,PLASMA;SALIVA;SERUM;WHOLE BLOOD
314953f6-58e7-49c0-adfd-c60e623eba74,BONE MARROW;DNA;PERIPHERAL BLOOD CELLS;RNA
c232fa07-5d28-4bdc-b540-1ad8d933c5f9,DNA;TISSUE
7f9672fa-dad5-479d-a929-52719e8cc2fa,IN PROGRESS
b3ec5c18-e339-4bd8-8a59-5a3445a81f16,IN PROGRESS
47f979bc-da9d-4e9e-9f2b-15e09366db04,IN PROGRESS
f13258c3-f85a-4772-b42e-da8a84c5064a,PM TISSUE;PRIMARY CELLS
fdf9ac68-fc89-4adf-9a73-3a94a9974aef,PLASMA;PM TISSUE;TISSUE
019fad36-65ea-4d47-8d6d-a47240eeb801,DNA;PLASMA;SERUM;URINE;WHOLE BLOOD
01492322-9b33-41cc-9f51-484024e45878,DNA;PLASMA;SERUM;WHOLE BLOOD
ebe6c9dd-fb95-4301-a929-c21b8077753a,TISSUE
2f085ac6-d33d-4b9b-8a99-624cc51c3f17,PM TISSUE
399a6d67-7577-4476-a3b6-4bbceb5a8ff7,CDNA/MRNA;TISSUE
1fdf266c-d5d8-418d-a423-81265da540a2,SERUM;TISSUE
8437b207-c925-4dd1-9478-5af329cd736e,IN PROGRESS
edafebac-9479-4d2c-b44e-349091d5b35b,PERIPHERAL BLOOD CELLS
edd55990-a616-4a9c-a4a2-38af136a349b,IN PROGRESS
47b544f4-301c-43e0-b347-fc623ea1a8b3,WHOLE BLOOD
e10a660d-b84c-475f-abd4-024dd1af7a5d,IN PROGRESS
a218d0b4-0273-4a04-ba17-c01dae6dcf33,DNA;PLASMA;SERUM;TISSUE
c0318a31-a32c-4d3a-9591-dfe9352bf2b9,PLASMA;SERUM;TISSUE;URINE
2dc1218d-df5f-4025-826c-cf5ca7d67882,PERIPHERAL BLOOD CELLS;PLASMA;SERUM;TISSUE;WHOLE BLOOD
f94168a1-cab8-4211-90e0-38a241609697,TISSUE
7e60a651-b3d6-40ef-93dc-1f87dabee7be,PLASMA;SERUM;TISSUE;URINE
8648d251-6186-4383-82fc-c036a87c3842,PLASMA;SERUM;TISSUE;URINE
13c71637-144e-4742-8aea-aefb778a360e,TISSUE
d17efe5d-325f-4fcf-b25e-87d1f6269bea,PLASMA;SERUM;TISSUE;WHOLE BLOOD
095d805c-4b62-4726-b968-bb2f1c463701,DNA;PLASMA;SERUM;TISSUE;URINE
47fc8f03-eba1-4efa-ae3e-148a76b56517,IN PROGRESS
b03835b7-7408-49a0-a9aa-ea405f9855c9,CANCER CELL LINES;DNA;PLASMA;SERUM;TISSUE
4684d391-a6a7-44f7-bf4b-62b6b693f9fa,PM TISSUE
576fbcf8-ff25-4230-ae69-e72ca02b95f1,BONE MARROW;PERIPHERAL BLOOD CELLS;SERUM;URINE
10d0def8-dc03-473f-b60b-4c0dc3642a25,TISSUE;WHOLE BLOOD
762976cc-83d0-4b31-a879-37f87f947406,PLASMA;SERUM;TISSUE;WHOLE BLOOD
ba0edcaf-854d-4907-851a-280b56128b3b,IN PROGRESS
df9b7bb1-1b26-4e67-b885-df2dcb8e3450,DNA;PLASMA;PM TISSUE;SERUM;URINE
f20bf814-ee80-4e67-ab00-afff884ddbb4,DNA;FAECES;PLASMA;SERUM;URINE
039b55f7-d416-49ab-9bdb-4ff7dbc733df,CDNA/MRNA;MICRORNA;TISSUE;WHOLE BLOOD
f86400cb-7cab-4e34-aab6-57138b6a96c2,PLASMA;SERUM;URINE;WHOLE BLOOD
15f07cef-f4cc-4a50-90bc-9fd40f8b6327,IN PROGRESS
c6e1ea88-f5bf-4a57-953f-688f313fcb04,PLASMA;SERUM;TISSUE;WHOLE BLOOD
264a1987-a8cb-4a83-81e0-70b4c3893b7d,IN PROGRESS
4a65f6d6-f2e4-4d98-a3a4-94a32206836d,CORE BIOPSY;PERIPHERAL BLOOD CELLS;PLASMA;SERUM;TISSUE;WHOLE BLOOD
ccd6e59d-3582-4f47-a4cd-f5845192d75c,IN PROGRESS
df94730b-374b-4d91-8116-1c10a7c77c4e,IN PROGRESS
07d1b768-78f6-41e8-995a-66afd2549b34,PLASMA;RNA;TISSUE;URINE;WHOLE BLOOD
c6e0e70e-7f23-4a44-a2cf-1d7d87be7808,PLASMA;URINE;WHOLE BLOOD
19fa25a7-c15d-441c-b635-ad49043e7a96,SALIVA;TISSUE;WHOLE BLOOD
89497432-17e0-49f4-96a4-65ef57d07701,SERUM
76d26f0f-0136-4ae5-8be9-37782a70bac5,DNA;WHOLE BLOOD
e5ec63dd-4da5-4119-99c8-5cc79045618c,IN PROGRESS
b5217dcb-582f-4914-ae45-9eb3899add30,DNA;WHOLE BLOOD
18bc81e3-7d99-4152-bd7a-3c90ee7e489d,IN PROGRESS
fcb62cb3-c876-47a3-961e-fb27c6f718fa,IN PROGRESS
b3b790a7-a455-4efb-9c68-60e7131cb836,IN PROGRESS
71eb0192-1124-4b27-86e4-1139e0047a02,TISSUE
d387ed7c-14fa-49e2-8ced-df0f9372eb88,IN PROGRESS
4883530f-1c8d-49aa-886e-ea3b958772ea,DNA;TISSUE
bdda7221-7c02-4ced-b7a8-3806a073d981,IN PROGRESS
425f4534-51c4-4f75-8ca0-d7c731dbd903,IN PROGRESS
5f4c825d-d6c3-453e-9667-8cdf2329b6e1,IN PROGRESS
85113a93-89ed-40e3-a479-33b461b91858,IN PROGRESS
ff875c08-58e6-4e33-8ffe-6f51c8364333,IN PROGRESS
6ac9b356-00f1-49da-825a-6eb04d18e49d,TISSUE;WHOLE BLOOD
12288034-00a4-47a8-a779-1cf7a55270e4,IN PROGRESS
33b1a989-5f61-412e-bdae-b551c92d1ed6,TISSUE
35985f8e-f01a-41cc-a9e2-30299d3d6eed,PLASMA;SERUM;TISSUE
20639743-9a28-43dd-a8af-7571ece2a7f8,TISSUE
ce533c67-5565-4010-bedf-dca3863a9084,TISSUE
3e5fb54a-84ec-4888-9a72-4093c6e90dbc,IN PROGRESS
636e216a-072b-4c8b-b867-23b7666d2cb2,PERIPHERAL BLOOD CELLS;PLASMA;SALIVA;SERUM;TISSUE;WHOLE BLOOD
d0694e15-b6ba-4a95-962a-dbf627ca207c,PERIPHERAL BLOOD CELLS;PLASMA;RNA;SERUM;WHOLE BLOOD
89e2d798-c488-4eaf-a50f-a93616093304,DNA;IMMORTALIZED CELL LINES
38fe1a10-ebf9-4dc1-8c35-2e7b33b1f6b5,IN PROGRESS
c9f82f86-79e1-4067-932f-5e6dc939006d,PERIPHERAL BLOOD CELLS;PLASMA;SERUM
b5533cb5-0c59-495b-9b11-3c401daeb958,PLASMA
e0b951ba-0f7d-4743-9374-b965042accdd,DNA;PLASMA;SERUM
a1d16f3f-c7e7-41c5-a071-07889bf49ab1,IN PROGRESS
029b7f0f-911e-46ce-837f-031959f067da,PERIPHERAL BLOOD CELLS;PLASMA;SERUM;TISSUE;URINE;WHOLE BLOOD
786563e9-5377-4d18-8d32-65ff14d53987,PERIPHERAL BLOOD CELLS;PLASMA;PRIMARY CELLS;SERUM;TISSUE;WHOLE BLOOD
e57dd7a2-3c5c-4285-8001-8e2589c395e9,TISSUE
37886fb5-d0ae-400f-89eb-78664897bcf2,DNA;PLASMA;RNA;SERUM;TISSUE;WHOLE BLOOD
e46dccbf-484d-45d2-a42a-4d308b87c113,IN PROGRESS
71e898d1-db8c-4887-a605-dd6336b92a34,TISSUE
c8cd0645-b728-4c62-84b8-036c1d8763be,PLASMA;SERUM;WHOLE BLOOD
5ef75d71-73ce-4451-9d7a-a39dd82b712f,TISSUE
5618f65d-23fc-4bd5-9a4c-73e4b330c3a6,IN PROGRESS
bbcdc352-e0f7-4672-93a7-134bcf5001b1,IN PROGRESS
351cc017-caff-4303-8a48-1aa1b90fce2b,DNA;PLASMA;SERUM;URINE;WHOLE BLOOD
6f1b9a4e-2367-47f1-a985-3ed9bf3a7211,TISSUE
8cbb73e2-a2c4-4caf-8dcd-6ac3795bb996,DNA;PLASMA;SERUM;WHOLE BLOOD
c1fa9b47-a954-4587-a0c2-bae0f3ec2b9b,DNA;PLASMA;SERUM;WHOLE BLOOD
529f126b-660c-4c31-aeb2-765dac1d9df0,SERUM
596077a9-298b-44cc-aa7a-81f04cf5dcb3,SERUM
43636f80-27fd-43d0-8556-d0a2de0cd819,DNA
fe610510-fe78-461e-9c73-54dae67cade4,DNA;PLASMA;SERUM
8ca5cc9c-bb4e-4fa4-b430-165720cd9634,DNA;PLASMA;SERUM
8ca05f55-af73-42bd-b682-851c2c54a6cc,WHOLE BLOOD
19b4cd38-3828-4bb1-a980-4f7420658965,CORE BIOPSY;DNA;FAECES;IMMORTALIZED CELL LINES;PERIPHERAL BLOOD CELLS;PLASMA;RNA;SALIVA;SERUM;SWABS;TISSUE;URINE;WHOLE BLOOD;OTHER
fe1684ef-69ee-4490-9ab8-b26e990c9060,URINE;WHOLE BLOOD;DNA;PLASMA;SERUM
98bfe17f-be12-47b1-943a-2d3a621b7618,PLASMA;SERUM;DNA;AVAILABILITY TO BE CONFIRMED
c2ced850-e75c-4428-8cc2-5338c34d138a,AVAILABILITY TO BE CONFIRMED
d602ca39-b287-4047-81c1-d635d3ceed5a,AVAILABILITY TO BE CONFIRMED
5345e2b8-13f3-41ce-9f56-87aaa9f3f55e,OTHER
335905f0-4b94-451e-96f1-5b44f45ea923,AVAILABILITY TO BE CONFIRMED
c0e3e61c-000c-43bb-9dd1-55698198a8b6,DNA;AVAILABILITY TO BE CONFIRMED
cd8f4e44-0228-4abd-9286-0509afe9427e,AVAILABILITY TO BE CONFIRMED
985be746-2350-40aa-9dd3-14c2e452765b,SERUM;PLASMA;PERIPHERAL BLOOD CELLS
a2017e30-5257-40ec-8bae-9b221724121e,DNA;IMMORTALIZED CELL LINES;SERUM;PLASMA
f6bbe978-f223-4f2f-8ff4-06cd281e18fd,DNA;SERUM;PLASMA;OTHER
